,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover
7633,IF2104.CFX,20210323,5000.6,4999.0,5010.0,5020.0,4915.0,4977.4,4957.2,-21.6,-41.8,107857.0,16068401.808,114117.0,5934.0,IF,20210222,20210416,1.0,IFc1,
8137,IF2105.CFX,20210323,4969.2,4968.6,4983.8,4987.2,4888.4,4950.6,4933.8,-18.0,-34.8,1360.0,201442.302,1436.0,,IF,20210322,20210521,2.0,IFc2,
6340,IF2106.CFX,20210323,4930.0,4928.6,4939.6,4948.8,4848.0,4909.0,4889.8,-19.6,-38.8,22379.0,3288453.72,74043.0,246.0,IF,20201019,20210618,3.0,IFc3,
7634,IF2104.CFX,20210324,4977.4,4957.2,4964.6,5006.4,4895.0,4917.4,4912.8,-39.8,-44.4,112901.0,16723999.32,115774.0,1657.0,IF,20210222,20210416,1.0,IFc1,
8138,IF2105.CFX,20210324,4950.6,4933.8,4933.8,4978.6,4874.0,4892.0,4888.6,-41.8,-45.2,2053.0,302267.904,2356.0,920.0,IF,20210322,20210521,2.0,IFc2,
6341,IF2106.CFX,20210324,4909.0,4889.8,4890.0,4936.8,4834.8,4853.2,4849.4,-36.6,-40.4,25456.0,3719942.412,74613.0,570.0,IF,20201019,20210618,3.0,IFc3,
7635,IF2104.CFX,20210325,4917.4,4912.8,4909.8,4939.6,4872.6,4916.6,4914.8,3.8,2.0,102740.0,15131998.416,114247.0,-1527.0,IF,20210222,20210416,1.0,IFc1,
8139,IF2105.CFX,20210325,4892.0,4888.6,4866.4,4915.0,4849.6,4888.8,4886.6,0.2,-2.0,1933.0,283072.74600000004,2555.0,199.0,IF,20210322,20210521,2.0,IFc2,
6342,IF2106.CFX,20210325,4853.2,4849.4,4839.8,4874.0,4811.0,4853.4,4850.8,4.0,1.4,20104.0,2922369.432,72414.0,-2199.0,IF,20201019,20210618,3.0,IFc3,
7636,IF2104.CFX,20210326,4916.6,4914.8,4941.0,5045.8,4941.0,5016.4,5025.4,101.6,110.6,114974.0,17226615.942,114483.0,236.0,IF,20210222,20210416,1.0,IFc1,
8140,IF2105.CFX,20210326,4888.8,4886.6,4911.2,5018.2,4911.2,4993.0,5002.2,106.4,115.6,2049.0,305682.27,2933.0,378.0,IF,20210322,20210521,2.0,IFc2,
6343,IF2106.CFX,20210326,4853.4,4850.8,4880.0,4981.0,4880.0,4953.0,4963.2,102.2,112.4,27483.0,4068351.6119999997,75220.0,2806.0,IF,20201019,20210618,3.0,IFc3,
